Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion_Rate_Original,Sale_Amount,Ad_Date,Location,Device,Keyword,Ad_Date_Parsed,Day,Month,Weekday,Week,CR_Needs_Fix,Conversion_Rate_Fixed,CTR,CPC,Cost_Per_Lead,Lead_Conversion_Rate,Conversion_Per_Impression,Leads_Per_Click,Revenue_Per_Conversion,ROI,Cost_Per_Sale,Campaign_Name_Encoded,Location_Encoded,Device_Encoded,Keyword_Encoded
A1017,data analytics course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,12-11-2024,hyderabad,mobile,learn data analytics,2024-12-11,11,12,2,50,False,0.0604,0.0336267208305123,1.3919463087248323,10.91578947368421,0.47368421052631576,0.002031144211238998,0.12751677852348994,188.11111111111111,7.162970106075217,0.12250443000590668,0,0,1,4
A1018,data analytics course,150.0,3113.0,217.41,20.0,5.0,0.047,1785.0,2024/11/07,hyderabad,mobile,analytics for data,2024-11-07,7,11,3,45,True,0.0333,0.04818503051718599,1.4494,10.8705,0.25,0.0016061676839061998,0.13333333333333333,357.0,7.210293914723334,0.1217983193277311,0,0,1,0
A1019,data analytics course,145.0,5278.0,214.965,25.0,6.0,0.041,1516.0,2024-11-05,hyderabad,desktop,data analytics course,2024-11-05,5,11,1,45,False,0.0414,0.027472527472527472,1.4825172413793104,8.5986,0.24,0.0011367942402425162,0.1724137931034483,252.66666666666666,6.052310841299747,0.14179749340369394,0,0,0,1
A1020,data analytics course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,2024/11/21,hyderabad,tablet,learn data analytics,2024-11-21,21,11,3,47,True,0.0543,0.044412261646150135,1.2135869565217392,22.330000000000002,1.0,0.0024137098720733766,0.05434782608695652,173.5,6.769816390506046,0.12870317002881845,0,0,2,4
A1021,data analytics course,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,2024/11/08,hyderabad,tablet,data analytics online,2024-11-08,8,11,4,45,False,0.0409,0.041165142031776604,1.0773684210526315,6.141,0.23333333333333334,0.001685122773230621,0.17543859649122806,257.57142857142856,8.786679693860934,0.10217970049916805,0,0,2,2
A1022,data analytics course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,hyderabad,desktop,online data analytic,2024-11-20,20,11,2,47,False,0.0492,0.023520339309812992,1.7314754098360656,7.823703703703704,0.2222222222222222,0.001156737998843262,0.22131147540983606,220.33333333333334,5.258284415830335,0.15978819969742813,0,0,0,5
A1023,data analytics course,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,30-11-2024,hyderabad,tablet,data analytics course,2024-11-30,30,11,5,48,True,0.0266,0.032424974129010006,1.2243085106382978,8.220357142857143,0.17857142857142858,0.0008623663332183512,0.14893617021276595,290.4,5.308380762045445,0.15851928374655647,0,0,2,1
A1024,data analytics course,87.0,3718.0,214.965,12.0,3.0,0.034,1652.0,20-11-2024,hyderabad,tablet,learn data analytics,2024-11-20,20,11,2,47,False,0.0345,0.023399677245831092,2.470862068965517,17.91375,0.25,0.0008068854222700376,0.13793103448275862,550.6666666666666,6.684971972181518,0.13012409200968522,0,0,2,4
A1025,data analytics course,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,hyderabad,tablet,learn data analytics,2024-11-20,20,11,2,47,False,0.0909,0.026276500447894893,2.067272727272727,8.269090909090908,0.36363636363636365,0.002388772767990445,0.25,182.0,7.003518029903255,0.12494505494505494,0,0,2,4
A1026,data analytics course,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,hyderabad,desktop,online data analytic,2024-11-02,2,11,5,44,True,0.084,0.022355814390381364,1.7304201680672269,12.112941176470587,0.5882352941176471,0.0018786398647379298,0.14285714285714285,165.6,7.041958041958042,0.12434782608695652,0,0,0,5
A1027,data analytics course,139.0,5286.0,234.89,22.0,10.0,0.047,1688.0,2024-11-21,hyderabad,desktop,data analytics training,2024-11-21,21,11,3,47,True,0.04665,0.026295875898600076,1.6898561151079137,10.67681818181818,0.45454545454545453,0.0018917896329928112,0.15827338129496402,168.8,6.18634254331815,0.13915284360189573,0,0,0,3
A1028,data analytics course,128.0,5469.0,188.49,16.0,3.0,0.047,1783.0,2024-11-23,hyderabad,mobile,learn data analytics,2024-11-23,23,11,5,47,True,0.0234,0.02340464435911501,1.472578125,11.780625,0.1875,0.0005485463521667581,0.125,594.3333333333334,8.459387765929227,0.10571508693213685,0,0,1,4
A1029,data analytics course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,2024/11/13,hyderabad,mobile,analytics for data,2024-11-13,13,11,2,46,False,0.1047,0.025663980901223515,2.76453488372093,11.321428571428571,0.42857142857142855,0.0026857654431512983,0.2441860465116279,219.44444444444446,7.307045215562566,0.12037974683544304,0,0,1,0
A1030,data analytics course,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,hyderabad,tablet,online data analytic,2024-11-08,8,11,4,45,False,0.0213,0.03889118742242449,1.136063829787234,14.238666666666667,0.26666666666666666,0.0008274720728175424,0.0797872340425532,397.5,6.444517276898586,0.13432704402515724,0,0,2,5
A1031,data analytics course,113.0,5065.0,212.37,11.0,5.0,0.047,1111.0,22-11-2024,hyderabad,desktop,online data analytic,2024-11-22,22,11,4,47,True,0.0442,0.022309970384995065,1.8793805309734513,19.30636363636364,0.45454545454545453,0.0009871668311944718,0.09734513274336283,222.2,4.231435701841126,0.19115211521152115,0,0,0,5
A1032,data analytics course,139.0,3872.0,244.38,20.0,4.0,0.047,1041.0,12-11-2024,hyderabad,tablet,data analytics online,2024-12-11,11,12,2,50,True,0.04665,0.03589876033057851,1.7581294964028777,12.219,0.2,0.0010330578512396695,0.14388489208633093,260.25,3.2597593911122025,0.2347550432276657,0,0,2,2
A1033,data analytics course,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,2024/11/03,hyderabad,tablet,data analytics course,2024-11-03,3,11,6,44,True,0.0398,0.03194772190960247,1.3328977272727274,12.346842105263159,0.3684210526315789,0.0012706480304955528,0.10795454545454546,244.28571428571428,6.289313269960356,0.13718713450292397,0,0,2,1
A1034,data analytics course,121.0,5610.0,214.96,23.0,8.0,0.047,1507.0,2024-11-25,hyderabad,mobile,data analytics course,2024-11-25,25,11,0,48,True,0.0661,0.021568627450980392,1.7765289256198349,9.34608695652174,0.34782608695652173,0.00142602495543672,0.19008264462809918,188.375,6.010606624488276,0.1426410086264101,0,0,1,1
A1035,data analytics course,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,01-11-2024,hyderabad,desktop,data analytics training,2024-01-11,11,1,3,2,True,0.0865,0.019715639810426542,2.273846153846154,14.78,0.5625,0.0017061611374407583,0.15384615384615385,202.66666666666666,6.713125845737483,0.12964912280701754,0,0,0,3
A1036,data analytics course,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,hyderabad,desktop,data analytics training,2024-11-07,7,11,3,45,True,0.0548,0.02458326317561879,1.6636986301369863,22.081818181818182,0.7272727272727273,0.0013470281192119885,0.07534246575342465,229.125,6.5463153561136265,0.1325150027277687,0,0,0,3
A1037,data analytics course,123.0,5131.0,214.965,19.0,5.0,0.041,1307.0,09-11-2024,hyderabad,mobile,learn data analytics,2024-09-11,11,9,2,37,False,0.0407,0.02397193529526408,1.7476829268292684,11.313947368421053,0.2631578947368421,0.0009744689144416293,0.15447154471544716,261.4,5.080059544577025,0.16447207345065035,0,0,1,4
A1038,data analytics course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,16-11-2024,hyderabad,mobile,online data analytic,2024-11-16,16,11,5,46,True,0.0667,0.015554787417905289,2.1950000000000003,17.95909090909091,0.5454545454545454,0.0010369858278603526,0.12222222222222222,284.0,7.625664388762338,0.11593309859154931,0,0,1,5
A1039,data analytics course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,hyderabad,mobile,learn data analytics,2024-11-26,26,11,1,48,False,0.0585,0.03973048327137547,1.126374269005848,11.33,0.5882352941176471,0.0023234200743494425,0.09941520467836257,142.7,6.408753439592958,0.13497547302032237,0,0,1,4
A1040,data analytics course,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,2024/11/12,hyderabad,mobile,data analytics training,2024-11-12,12,11,1,46,False,0.0957,0.016939989187240944,2.4598936170212764,9.2492,0.36,0.0016219138583528565,0.26595744680851063,205.44444444444446,6.996367253384077,0.12505678745267712,0,0,1,3
A1041,data analytics course,112.0,4271.0,196.07,27.0,6.0,0.047,1209.0,2024-11-14,hyderabad,desktop,data analytics online,2024-11-14,14,11,3,46,True,0.0536,0.026223366892999297,1.7506249999999999,7.261851851851851,0.2222222222222222,0.0014048232264106766,0.24107142857142858,201.5,5.16616514510124,0.16217535153019022,0,0,0,2
A1042,data analytics course,113.0,4418.0,191.55,27.0,10.0,0.047,1634.0,2024/11/09,hyderabad,mobile,data analytics course,2024-11-09,9,11,5,45,True,0.0885,0.02557718424626528,1.695132743362832,7.094444444444445,0.37037037037037035,0.0022634676324128564,0.23893805309734514,163.4,7.530409814669799,0.11722766217870258,0,0,1,1
A1043,data analytics course,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,29-11-2024,hyderabad,desktop,data analytics online,2024-11-29,29,11,4,48,False,0.0483,0.038968019349637194,1.2479310344827585,8.616666666666665,0.3333333333333333,0.0018812147272238647,0.14482758620689656,280.0,9.831721470019342,0.09232142857142857,0,0,0,2
A1044,data analytics course,197.0,5783.0,204.46,23.0,6.0,0.047,1729.0,01-11-2024,hyderabad,tablet,data analytics training,2024-01-11,11,1,3,2,True,0.0305,0.03406536399792495,1.0378680203045685,8.889565217391304,0.2608695652173913,0.0010375237765865469,0.116751269035533,288.1666666666667,7.456421793993934,0.11825332562174667,0,0,2,3
A1045,data analytics course,109.0,4866.0,236.78,27.0,5.0,0.047,1585.0,15-11-2024,hyderabad,mobile,online data analytic,2024-11-15,15,11,4,46,True,0.0459,0.02240032881216605,2.1722935779816512,8.76962962962963,0.18518518518518517,0.0010275380189066995,0.24770642201834864,317.0,5.693977531886139,0.14938801261829654,0,0,1,5
A1046,data analytics course,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,11-11-2024,hyderabad,desktop,data analytics training,2024-11-11,11,11,0,46,True,0.0213,0.032098343862045416,1.186063829787234,11.149,0.2,0.0006829434864264982,0.10638297872340426,325.75,4.843573414656023,0.171128165771297,0,0,0,3
A1047,data analytics course,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,hyderabad,mobile,analytics for data,2024-11-08,8,11,4,45,False,0.0211,0.02782676856750931,1.6485915492957746,9.754166666666666,0.125,0.0005878894767783657,0.16901408450704225,611.6666666666666,6.838530542503205,0.127574931880109,0,0,1,0
A1048,data analytics course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,hyderabad,mobile,online data analytic,2024-11-24,24,11,6,47,False,0.0536,0.036105738233397806,1.4335714285714285,8.92,0.3333333333333333,0.0019342359767891683,0.16071428571428573,151.88888888888889,4.675967447267896,0.17618141916605706,0,0,1,5
A1049,data analytics course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,21-11-2024,hyderabad,mobile,learn data analytics,2024-11-21,21,11,3,47,False,0.0909,0.031214528944381384,2.2623636363636366,13.097894736842106,0.5263157894736842,0.0028376844494892167,0.17272727272727273,152.4,5.123925098448926,0.1632939632545932,0,0,1,4
A1050,data analytics course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,2024/11/12,hyderabad,mobile,analytics for data,2024-11-12,12,11,1,46,True,0.026,0.03233411923206467,0.9522916666666666,7.032307692307692,0.19230769230769232,0.000842034355001684,0.13541666666666666,216.0,4.906803762852767,0.1692962962962963,0,0,1,0
A1051,data analytics course,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,hyderabad,tablet,analytics for data,2024-11-24,24,11,6,47,False,0.0495,0.025621511922881784,2.045742574257426,12.91375,0.3125,0.0012683916793505834,0.15841584158415842,349.2,7.4502952279547,0.11833906071019473,0,0,2,0
A1052,data analytics course,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,hyderabad,mobile,online data analytic,2024-11-25,25,11,0,48,False,0.0637,0.0473604826546003,1.2073885350318472,12.637333333333334,0.6666666666666666,0.0030165912518853697,0.09554140127388536,102.6,4.412534289934586,0.18475633528265106,0,0,1,5
A1053,data analytics course,113.0,4945.0,187.66,15.0,10.0,0.047,1564.0,2024/11/26,hyderabad,tablet,learn data analytics,2024-11-26,26,11,1,48,True,0.0885,0.022851365015166835,1.66070796460177,12.510666666666667,0.6666666666666666,0.0020222446916076846,0.13274336283185842,156.4,7.334221464350421,0.11998721227621482,0,0,2,4
A1054,data analytics course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,26-11-2024,hyderabad,desktop,learn data analytics,2024-11-26,26,11,1,48,False,0.0729,0.030322173089071383,2.043229166666667,6.763793103448276,0.2413793103448276,0.0022109917877447885,0.3020833333333333,271.7142857142857,8.696660718837624,0.10312828601472135,0,0,0,4
A1055,data analytics course,125.0,4223.0,183.68,15.0,6.0,0.047,1267.0,2024-11-05,hyderabad,desktop,data analytics online,2024-11-05,5,11,1,45,True,0.048,0.029599810561212407,1.46944,12.245333333333333,0.4,0.0014207909069381957,0.12,211.16666666666666,5.897865853658536,0.14497237569060775,0,0,0,2
A1056,data analytics course,104.0,4798.0,210.1,18.0,3.0,0.047,1340.0,21-11-2024,hyderabad,desktop,analytics for data,2024-11-21,21,11,3,47,True,0.0288,0.021675698207586493,2.020192307692308,11.672222222222222,0.16666666666666666,0.0006252605252188412,0.17307692307692307,446.6666666666667,5.377915278438839,0.1567910447761194,0,0,0,0
A1057,data analytics course,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,hyderabad,mobile,data analytics training,2024-11-16,16,11,5,46,False,0.0309,0.03430592396109638,1.0751546391752578,16.044615384615387,0.46153846153846156,0.0010610079575596816,0.06701030927835051,282.0,7.111995397449419,0.123274231678487,0,0,1,3
A1058,data analytics course,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,18-11-2024,hyderabad,desktop,data analytics online,2024-11-18,18,11,0,47,False,0.0556,0.02801556420233463,1.5241666666666667,11.551578947368421,0.42105263157894735,0.0015564202334630351,0.13194444444444445,131.75,3.8022598870056497,0.20823529411764705,0,0,0,2
A1059,data analytics course,179.0,3025.0,238.81,17.0,3.0,0.017,1507.0,2024-11-11,hyderabad,mobile,data analytics online,2024-11-11,11,11,0,46,False,0.0168,0.059173553719008266,1.3341340782122906,14.047647058823529,0.17647058823529413,0.0009917355371900827,0.09497206703910614,502.3333333333333,5.310456011054813,0.15846715328467154,0,0,1,2
A1060,data analytics course,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,16-11-2024,hyderabad,tablet,data analytics course,2024-11-16,16,11,5,46,False,0.0422,0.031782500478652116,1.1431325301204818,10.542222222222222,0.3888888888888889,0.0013402259237985832,0.10843373493975904,174.14285714285714,5.423903878583475,0.15566858080393764,0,0,2,1
A1061,data analytics course,166.0,5089.0,214.965,26.0,7.0,0.042,1946.0,11-11-2024,hyderabad,tablet,analytics for data,2024-11-11,11,11,0,46,False,0.0422,0.03261937512281391,1.2949698795180724,8.267884615384615,0.2692307692307692,0.001375515818431912,0.1566265060240964,278.0,8.052636475705347,0.11046505652620761,0,0,2,0
A1062,data analytics course,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,2024/11/08,hyderabad,desktop,analytics for data,2024-11-08,8,11,4,45,True,0.0763,0.023524720893141945,1.7314406779661018,10.753157894736843,0.47368421052631576,0.0017942583732057417,0.16101694915254236,203.66666666666666,7.971660711663649,0.1114620840152755,0,0,0,0
A1063,data analytics course,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,23-11-2024,hyderabad,mobile,data analytics course,2024-11-23,23,11,5,47,False,0.0378,0.05114735969035112,1.2017297297297298,9.263333333333334,0.2916666666666667,0.0019353055017970694,0.12972972972972974,280.42857142857144,7.829614969413458,0.11325522159959246,0,0,1,1
A1064,data analytics course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,2024/11/20,hyderabad,tablet,data analytics course,2024-11-20,20,11,2,47,False,0.0862,0.030818278427205102,2.0002586206896553,8.286785714285715,0.35714285714285715,0.002656748140276302,0.2413793103448276,134.8,4.809593587036159,0.17212908011869435,0,0,2,1
A1065,data analytics course,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,hyderabad,desktop,online data analytic,2024-11-05,5,11,1,45,False,0.0606,0.022053909556694142,1.8558585858585857,12.248666666666667,0.4,0.0013366005791935842,0.15151515151515152,210.66666666666666,5.879660371196866,0.14535601265822784,0,0,0,5
A1066,data analytics course,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,27-11-2024,hyderabad,mobile,analytics for data,2024-11-27,27,11,2,48,False,0.0465,0.038730015762215714,1.2859302325581397,15.79857142857143,0.5714285714285714,0.0018013960819635217,0.08139534883720931,221.375,7.007053078940229,0.12488989271597968,0,0,1,0
A1067,data analytics course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,hyderabad,desktop,data analytics online,2024-11-10,10,11,6,45,True,0.0652,0.023995826812728223,1.442826086956522,7.658076923076924,0.34615384615384615,0.001564945226917058,0.18840579710144928,148.55555555555554,5.714881221435387,0.14892296185489903,0,0,0,2
A1068,data analytics course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,04-11-2024,hyderabad,desktop,learn data analytics,2024-04-11,11,4,3,15,False,0.119,0.02081268582755203,2.788333333333333,10.183478260869565,0.43478260869565216,0.002477700693756194,0.27380952380952384,128.7,4.494833916830331,0.18198912198912198,0,0,0,4
A1069,data analytics course,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,hyderabad,desktop,learn data analytics,2024-11-16,16,11,5,46,False,0.0242,0.02509105625252934,1.940241935483871,13.366111111111111,0.16666666666666666,0.0006070416835289356,0.14516129032258066,640.6666666666666,6.988694459453843,0.12517689906347554,0,0,0,4
A1070,data analytics course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,2024/11/06,hyderabad,mobile,data analytics online,2024-11-06,6,11,2,45,False,0.041,0.024453798356384046,1.7662295081967212,17.956666666666667,0.4166666666666667,0.0010022048506714773,0.09836065573770492,395.0,8.165583812882867,0.10910379746835443,0,0,1,2
A1071,data analytics course,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,hyderabad,tablet,learn data analytics,2024-11-04,4,11,0,45,False,0.0389,0.059880239520958084,1.2674444444444444,10.37,0.3181818181818182,0.002328675981370592,0.12222222222222222,222.28571428571428,5.820373454896117,0.14661953727506427,0,0,2,4
A1072,data analytics course,133.0,3728.0,199.13,11.0,10.0,0.047,1507.0,2024-11-09,hyderabad,desktop,data analytics online,2024-11-09,9,11,5,45,True,0.0752,0.03567596566523605,1.497218045112782,18.10272727272727,0.9090909090909091,0.002682403433476395,0.08270676691729323,150.7,6.56792045397479,0.13213669542136694,0,0,0,2
A1073,data analytics course,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,12-11-2024,hyderabad,tablet,learn data analytics,2024-12-11,11,12,2,50,False,0.0488,0.04392072844134976,1.3743292682926829,8.347777777777777,0.2962962962962963,0.0021424745581146223,0.16463414634146342,216.0,6.666711034207375,0.13043402777777777,0,0,2,4
A1074,data analytics course,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,hyderabad,desktop,data analytics online,2024-11-09,9,11,5,45,False,0.04,0.032460506383899586,1.6420000000000001,16.42,0.4,0.0012984202553559835,0.1,259.0,5.309378806333739,0.1584942084942085,0,0,0,2
A1075,data analytics course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,23-11-2024,hyderabad,desktop,analytics for data,2024-11-23,23,11,5,47,False,0.1031,0.030199252801992527,2.191237113402062,7.872222222222223,0.37037037037037035,0.00311332503113325,0.27835051546391754,199.4,8.381322041872501,0.10659478435305918,0,0,0,0
A1076,data analytics course,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,2024/11/08,hyderabad,mobile,learn data analytics,2024-11-08,8,11,4,45,False,0.0312,0.03029585798816568,1.783125,7.6080000000000005,0.13333333333333333,0.0009467455621301775,0.234375,404.5,6.089029092183666,0.14106304079110013,0,0,1,4
A1077,data analytics course,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,hyderabad,desktop,online data analytic,2024-11-05,5,11,1,45,False,0.101,0.02071563088512241,2.3614141414141416,8.991538461538461,0.38461538461538464,0.002092487968194183,0.26262626262626265,108.6,3.6453931046282833,0.2152670349907919,0,0,0,5
A1078,data analytics course,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,hyderabad,tablet,online data analytic,2024-11-09,9,11,5,45,False,0.0581,0.016068759342301942,2.721511627906977,21.277272727272727,0.45454545454545453,0.0009342301943198804,0.12790697674418605,272.8,4.827814569536423,0.1715909090909091,0,0,2,5
A1079,data analytics course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,hyderabad,tablet,analytics for data,2024-11-05,5,11,1,45,False,0.0593,0.02183163737280296,1.5871186440677967,7.4912,0.28,0.0012950971322849213,0.211864406779661,262.2857142857143,8.8035027765912,0.10200435729847494,0,0,2,0
A1080,data analytics course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,2024/11/25,hyderabad,mobile,analytics for data,2024-11-25,25,11,0,48,False,0.0472,0.023388581952117862,1.5679527559055118,14.223571428571429,0.42857142857142855,0.0011049723756906078,0.11023622047244094,322.0,8.702204589966353,0.10306935817805382,0,0,1,0
